,地点,最高温度,风力
144,哈尔滨,15,<3级
145,齐齐哈尔,11,<3级
146,牡丹江,13,3-4级
147,佳木斯,12,3-4级
148,绥化,13,<3级
149,黑河,16,3-4级
150,大兴安岭,8,<3级
151,伊春,9,3-4级
152,大庆,12,<3级
153,七台河,12,3-4级
154,鸡西,12,3-4级
155,鹤岗,10,3-4级
156,双鸭山,9,<3级
157,长春,18,<3级
158,吉林,14,3-4级
159,延边,17,4-5级
160,四平,18,4-5级
161,通化,18,3-4级
162,白城,16,<3级
163,辽源,18,3-4级
164,松原,15,<3级
165,白山,16,3-4级
166,沈阳,20,3-4级
167,大连,17,4-5级
168,鞍山,20,3-4级
169,抚顺,18,3-4级
170,本溪,20,3-4级
171,丹东,19,3-4级
172,锦州,20,3-4级
173,营口,16,4-5级
174,阜新,20,3-4级
175,辽阳,21,4-5级
176,铁岭,19,4-5级
177,朝阳,20,3-4级
178,盘锦,18,3-4级
179,葫芦岛,19,3-4级
