,地点,最低温度,风力
180,哈尔滨,4,3-4级
181,齐齐哈尔,4,<3级
182,牡丹江,-2,3-4级
183,佳木斯,4,<3级
184,绥化,3,<3级
185,黑河,0,<3级
186,大兴安岭,0,<3级
187,伊春,-2,<3级
188,大庆,4,3-4级
189,七台河,2,<3级
190,鸡西,-1,<3级
191,鹤岗,-3,<3级
192,双鸭山,3,<3级
193,长春,7,3-4级
194,吉林,3,3-4级
195,延边,0,3-4级
196,四平,6,3-4级
197,通化,0,<3级
198,白城,5,<3级
199,辽源,4,3-4级
200,松原,6,<3级
201,白山,0,3-4级
202,沈阳,5,4-5级
203,大连,8,5-6级
204,鞍山,10,4-5级
205,抚顺,0,3-4级
206,本溪,5,3-4级
207,丹东,5,4-5级
208,锦州,9,4-5级
209,营口,7,5-6级
210,阜新,7,3-4级
211,辽阳,6,4-5级
212,铁岭,7,3-4级
213,朝阳,7,3-4级
214,盘锦,7,4-5级
215,葫芦岛,6,4-5级
