,地点,最高温度,风力
0,上海,-,-
1,闵行,-,-
2,宝山,-,-
3,黄浦,-,-
4,嘉定,-,-
5,浦东新区,-,-
6,金山,-,-
7,青浦,-,-
8,松江,-,-
9,奉贤,-,-
10,崇明,-,-
11,徐汇,-,-
12,长宁,-,-
13,静安,-,-
14,普陀,-,-
15,虹口,-,-
16,杨浦,-,-
17,合肥,-,-
18,蚌埠,-,-
19,芜湖,-,-
20,淮南,-,-
21,马鞍山,-,-
22,安庆,-,-
23,宿州,-,-
24,阜阳,-,-
25,亳州,-,-
26,黄山,-,-
27,滁州,-,-
28,淮北,-,-
29,铜陵,-,-
30,宣城,-,-
31,六安,-,-
32,池州,-,-
33,南京,-,-
34,无锡,-,-
35,镇江,-,-
36,苏州,-,-
37,南通,-,-
38,扬州,-,-
39,盐城,-,-
40,徐州,-,-
41,淮安,-,-
42,连云港,-,-
43,常州,-,-
44,泰州,-,-
45,宿迁,-,-
46,济南,-,-
47,青岛,-,-
48,淄博,-,-
49,德州,-,-
50,烟台,-,-
51,潍坊,-,-
52,济宁,-,-
53,泰安,-,-
54,临沂,-,-
55,菏泽,-,-
56,滨州,-,-
57,东营,-,-
58,威海,-,-
59,枣庄,-,-
60,日照,-,-
61,莱芜,-,-
62,聊城,-,-
63,杭州,-,-
64,湖州,-,-
65,嘉兴,-,-
66,宁波,-,-
67,绍兴,-,-
68,台州,-,-
69,温州,-,-
70,丽水,-,-
71,金华,-,-
72,衢州,-,-
73,舟山,-,-
74,福州,-,-
75,厦门,-,-
76,宁德,-,-
77,莆田,-,-
78,泉州,-,-
79,漳州,-,-
80,龙岩,-,-
81,三明,-,-
82,南平,-,-
83,钓鱼岛,-,-
84,南昌,-,-
85,九江,-,-
86,上饶,-,-
87,抚州,-,-
88,宜春,-,-
89,吉安,-,-
90,赣州,-,-
91,景德镇,-,-
92,萍乡,-,-
93,新余,-,-
94,鹰潭,-,-
