,地点,最低温度,风力
570,上海,15,<3级
571,闵行,13,<3级
572,宝山,12,<3级
573,黄浦,15,<3级
574,嘉定,12,<3级
575,浦东新区,13,<3级
576,金山,12,<3级
577,青浦,11,<3级
578,松江,13,<3级
579,奉贤,12,<3级
580,崇明,10,<3级
581,徐汇,15,<3级
582,长宁,15,<3级
583,静安,15,<3级
584,普陀,15,<3级
585,虹口,15,<3级
586,杨浦,15,<3级
587,合肥,10,<3级
588,蚌埠,11,<3级
589,芜湖,11,<3级
590,淮南,10,3-4级
591,马鞍山,11,<3级
592,安庆,11,3-4级
593,宿州,11,<3级
594,阜阳,9,3-4级
595,亳州,12,3-4级
596,黄山,10,<3级
597,滁州,9,3-4级
598,淮北,11,<3级
599,铜陵,10,3-4级
600,宣城,10,<3级
601,六安,10,<3级
602,池州,9,<3级
603,南京,12,<3级
604,无锡,11,<3级
605,镇江,10,<3级
606,苏州,12,3-4级
607,南通,7,<3级
608,扬州,12,<3级
609,盐城,9,<3级
610,徐州,12,<3级
611,淮安,13,<3级
612,连云港,10,<3级
613,常州,14,<3级
614,泰州,8,<3级
615,宿迁,12,<3级
616,济南,16,3-4级
617,青岛,9,3-4级
618,淄博,14,3-4级
619,德州,13,3-4级
620,烟台,10,4-5级
621,潍坊,12,3-4级
622,济宁,10,3-4级
623,泰安,10,3-4级
624,临沂,10,3-4级
625,菏泽,11,3-4级
626,滨州,12,3-4级
627,东营,12,3-4级
628,威海,10,4-5级
629,枣庄,8,<3级
630,日照,10,3-4级
631,莱芜,13,3-4级
632,聊城,12,3-4级
633,杭州,9,<3级
634,湖州,9,3-4级
635,嘉兴,9,4-5级
636,宁波,8,<3级
637,绍兴,9,3-4级
638,台州,10,3-4级
639,温州,11,3-4级
640,丽水,10,<3级
641,金华,13,3-4级
642,衢州,12,3-4级
643,舟山,11,3-4级
644,福州,16,3-4级
645,厦门,17,3-4级
646,宁德,15,<3级
647,莆田,16,3-4级
648,泉州,16,4-5级
649,漳州,17,3-4级
650,龙岩,15,3-4级
651,三明,15,<3级
652,南平,14,<3级
653,钓鱼岛,21,5-6级
654,南昌,15,<3级
655,九江,12,<3级
656,上饶,14,<3级
657,抚州,13,<3级
658,宜春,12,<3级
659,吉安,13,<3级
660,赣州,13,<3级
661,景德镇,12,<3级
662,萍乡,13,3-4级
663,新余,12,<3级
664,鹰潭,13,<3级
