,地点,最低温度,风力
0,武汉,11,-
1,襄阳,12,-
2,鄂州,12,-
3,孝感,12,-
4,黄冈,11,-
5,黄石,12,-
6,咸宁,12,-
7,荆州,12,-
8,宜昌,12,-
9,恩施,14,-
10,十堰,12,-
11,神农架,7,-
12,随州,10,-
13,荆门,11,-
14,天门,12,-
15,仙桃,12,-
16,潜江,12,-
17,长沙,12,-
18,湘潭,12,-
19,株洲,13,-
20,衡阳,14,-
21,郴州,13,-
22,常德,12,-
23,益阳,12,-
24,娄底,12,-
25,邵阳,12,-
26,岳阳,13,-
27,张家界,12,-
28,怀化,11,-
29,永州,15,-
30,湘西,12,-
31,郑州,10,-
32,安阳,9,-
33,新乡,9,-
34,许昌,8,-
35,平顶山,9,-
36,信阳,9,-
37,南阳,12,-
38,开封,11,-
39,洛阳,11,-
40,商丘,8,-
41,焦作,11,-
42,鹤壁,8,-
43,濮阳,8,-
44,周口,8,-
45,漯河,10,-
46,驻马店,10,-
47,三门峡,11,-
48,济源,10,-
