,地点,最高温度,风力
49,武汉,20,3-4级
50,襄阳,16,3-4级
51,鄂州,19,3-4级
52,孝感,19,3-4级
53,黄冈,20,3-4级
54,黄石,20,<3级
55,咸宁,19,3-4级
56,荆州,17,3-4级
57,宜昌,17,<3级
58,恩施,20,<3级
59,十堰,17,3-4级
60,神农架,13,<3级
61,随州,18,3-4级
62,荆门,16,3-4级
63,天门,18,3-4级
64,仙桃,19,3-4级
65,潜江,17,3-4级
66,长沙,20,<3级
67,湘潭,18,3-4级
68,株洲,18,<3级
69,衡阳,22,<3级
70,郴州,17,<3级
71,常德,17,<3级
72,益阳,18,<3级
73,娄底,20,<3级
74,邵阳,21,<3级
75,岳阳,17,<3级
76,张家界,16,<3级
77,怀化,19,<3级
78,永州,22,<3级
79,湘西,16,<3级
80,郑州,17,4-5级
81,安阳,16,3-4级
82,新乡,16,4-5级
83,许昌,17,4-5级
84,平顶山,17,3-4级
85,信阳,17,3-4级
86,南阳,17,3-4级
87,开封,16,4-5级
88,洛阳,15,3-4级
89,商丘,18,3-4级
90,焦作,17,3-4级
91,鹤壁,15,3-4级
92,濮阳,16,3-4级
93,周口,19,4-5级
94,漯河,18,3-4级
95,驻马店,20,3-4级
96,三门峡,14,3-4级
97,济源,16,<3级
