,地点,最高温度,风力
69,北京,21,3-4级
70,海淀,22,3-4级
71,朝阳,21,3-4级
72,顺义,21,3-4级
73,怀柔,21,<3级
74,通州,21,3-4级
75,昌平,22,3-4级
76,延庆,18,<3级
77,丰台,22,3-4级
78,石景山,21,<3级
79,大兴,21,3-4级
80,房山,21,<3级
81,密云,20,3-4级
82,门头沟,21,<3级
83,平谷,20,3-4级
84,东城,21,3-4级
85,西城,22,3-4级
86,天津,20,4-5级
87,武清,20,4-5级
88,宝坻,20,4-5级
89,东丽,20,4-5级
90,西青,20,3-4级
91,北辰,20,4-5级
92,宁河,19,4-5级
93,和平,20,4-5级
94,静海,20,3-4级
95,津南,20,3-4级
96,滨海新区,17,3-4级
97,河东,20,4-5级
98,河西,20,4-5级
99,蓟州,20,4-5级
100,南开,20,4-5级
101,河北,20,4-5级
102,红桥,20,4-5级
103,石家庄,19,<3级
104,保定,19,<3级
105,张家口,13,3-4级
106,承德,16,3-4级
107,唐山,20,3-4级
108,廊坊,21,3-4级
109,沧州,20,3-4级
110,衡水,19,<3级
111,邢台,15,<3级
112,邯郸,16,<3级
113,秦皇岛,16,3-4级
114,雄安新区,19,<3级
115,太原,14,<3级
116,大同,12,3-4级
117,阳泉,15,3-4级
118,晋中,14,3-4级
119,长治,13,3-4级
120,晋城,14,3-4级
121,临汾,13,<3级
122,运城,18,3-4级
123,朔州,14,<3级
124,忻州,14,<3级
125,吕梁,13,3-4级
126,呼和浩特,14,3-4级
127,包头,15,<3级
128,乌海,16,4-5级
129,乌兰察布,10,4-5级
130,通辽,14,3-4级
131,赤峰,9,3-4级
132,鄂尔多斯,12,3-4级
133,巴彦淖尔,16,3-4级
134,锡林郭勒,6,4-5级
135,呼伦贝尔,8,4-5级
136,兴安盟,13,3-4级
137,阿拉善盟,14,4-5级
