,地点,最低温度,风力
207,北京,9,<3级
208,海淀,10,3-4级
209,朝阳,10,3-4级
210,顺义,10,<3级
211,怀柔,8,<3级
212,通州,10,<3级
213,昌平,9,<3级
214,延庆,6,<3级
215,丰台,11,<3级
216,石景山,9,<3级
217,大兴,10,<3级
218,房山,10,<3级
219,密云,7,<3级
220,门头沟,10,<3级
221,平谷,8,<3级
222,东城,10,3-4级
223,西城,10,3-4级
224,天津,11,<3级
225,武清,10,<3级
226,宝坻,10,<3级
227,东丽,10,3-4级
228,西青,9,<3级
229,北辰,9,<3级
230,宁河,8,3-4级
231,和平,11,<3级
232,静海,10,<3级
233,津南,9,<3级
234,滨海新区,10,3-4级
235,河东,11,<3级
236,河西,11,<3级
237,蓟州,8,3-4级
238,南开,11,<3级
239,河北,11,<3级
240,红桥,11,<3级
241,石家庄,12,3-4级
242,保定,8,<3级
243,张家口,5,<3级
244,承德,4,<3级
245,唐山,7,<3级
246,廊坊,10,<3级
247,沧州,10,3-4级
248,衡水,10,<3级
249,邢台,10,<3级
250,邯郸,9,<3级
251,秦皇岛,7,3-4级
252,雄安新区,9,<3级
253,太原,6,3-4级
254,大同,2,3-4级
255,阳泉,6,3-4级
256,晋中,4,3-4级
257,长治,4,3-4级
258,晋城,7,3-4级
259,临汾,8,<3级
260,运城,8,<3级
261,朔州,4,<3级
262,忻州,3,3-4级
263,吕梁,7,3-4级
264,呼和浩特,7,<3级
265,包头,6,<3级
266,乌海,6,3-4级
267,乌兰察布,1,3-4级
268,通辽,6,3-4级
269,赤峰,4,3-4级
270,鄂尔多斯,5,4-5级
271,巴彦淖尔,6,3-4级
272,锡林郭勒,-1,4-5级
273,呼伦贝尔,-5,4-5级
274,兴安盟,5,4-5级
275,阿拉善盟,7,4-5级
