,地点,最高温度,风力
56,南宁,31,<3级
57,崇左,33,<3级
58,柳州,30,<3级
59,来宾,29,<3级
60,桂林,26,<3级
61,梧州,29,<3级
62,贺州,28,<3级
63,贵港,30,<3级
64,玉林,30,<3级
65,百色,30,<3级
66,钦州,31,<3级
67,河池,27,<3级
68,北海,30,3-4级
69,防城港,30,<3级
70,广州,29,<3级
71,韶关,26,<3级
72,惠州,28,<3级
73,梅州,28,<3级
74,汕头,29,<3级
75,深圳,28,<3级
76,珠海,26,<3级
77,佛山,28,<3级
78,肇庆,29,<3级
79,湛江,26,<3级
80,江门,29,<3级
81,河源,28,<3级
82,清远,27,<3级
83,云浮,27,<3级
84,潮州,29,<3级
85,东莞,29,<3级
86,中山,28,<3级
87,阳江,29,<3级
88,揭阳,29,<3级
89,茂名,30,<3级
90,汕尾,27,<3级
91,海口,29,<3级
92,三亚,29,<3级
93,东方,27,<3级
94,临高,31,<3级
95,澄迈,32,<3级
96,儋州,32,<3级
97,昌江,35,<3级
98,白沙,33,<3级
99,琼中,33,<3级
100,定安,33,<3级
101,屯昌,32,<3级
102,琼海,31,<3级
103,文昌,31,<3级
104,保亭,34,<3级
105,万宁,32,<3级
106,陵水,32,<3级
107,乐东,35,<3级
108,五指山,32,<3级
109,西沙,31,<3级
110,中沙,30,3-4级
111,南沙,31,<3级
