,地点,最低温度,风力
280,南宁,13,<3级
281,崇左,14,3-4级
282,柳州,14,<3级
283,来宾,13,<3级
284,桂林,15,3-4级
285,梧州,16,<3级
286,贺州,14,<3级
287,贵港,15,3-4级
288,玉林,16,3-4级
289,百色,15,<3级
290,钦州,15,4-5级
291,河池,13,<3级
292,北海,16,5-6级
293,防城港,17,4-5级
294,广州,16,3-4级
295,韶关,13,<3级
296,惠州,16,<3级
297,梅州,13,<3级
298,汕头,18,<3级
299,深圳,18,3-4级
300,珠海,18,3-4级
301,佛山,17,<3级
302,肇庆,16,<3级
303,湛江,18,<3级
304,江门,18,<3级
305,河源,14,<3级
306,清远,16,<3级
307,云浮,15,<3级
308,潮州,16,<3级
309,东莞,18,<3级
310,中山,18,<3级
311,阳江,18,<3级
312,揭阳,17,<3级
313,茂名,18,<3级
314,汕尾,18,<3级
315,海口,21,3-4级
316,三亚,23,<3级
317,东方,23,4-5级
318,临高,20,<3级
319,澄迈,20,<3级
320,儋州,20,<3级
321,昌江,19,<3级
322,白沙,19,<3级
323,琼中,20,<3级
324,定安,21,<3级
325,屯昌,20,<3级
326,琼海,22,3-4级
327,文昌,21,3-4级
328,保亭,22,<3级
329,万宁,22,<3级
330,陵水,22,<3级
331,乐东,22,<3级
332,五指山,21,<3级
333,西沙,24,4-5级
334,中沙,26,4-5级
335,南沙,26,3-4级
