,地点,最高温度,风力
300,西安,21,3-4级
301,咸阳,21,3-4级
302,延安,19,3-4级
303,榆林,16,3-4级
304,渭南,19,<3级
305,商洛,19,4-5级
306,安康,22,<3级
307,汉中,21,<3级
308,宝鸡,20,<3级
309,铜川,19,3-4级
310,杨凌,21,<3级
311,兰州,19,<3级
312,定西,10,3-4级
313,平凉,18,3-4级
314,庆阳,18,<3级
315,武威,18,3-4级
316,金昌,18,<3级
317,张掖,19,<3级
318,酒泉,17,5-6级
319,天水,19,<3级
320,陇南,21,<3级
321,临夏,16,<3级
322,甘南,12,<3级
323,白银,14,<3级
324,嘉峪关,19,3-4级
325,乌鲁木齐,22,4-5级
326,克拉玛依,24,<3级
327,石河子,27,<3级
328,昌吉,27,<3级
329,吐鲁番,28,<3级
330,巴音郭楞,19,<3级
331,阿拉尔,23,<3级
332,阿克苏,23,<3级
333,喀什,22,<3级
334,伊犁,28,<3级
335,塔城,26,<3级
336,哈密,23,<3级
337,和田,26,<3级
338,阿勒泰,20,<3级
339,克州,23,<3级
340,博尔塔拉,23,<3级
341,图木舒克,24,<3级
342,五家渠,22,4-5级
343,铁门关,19,<3级
344,北屯,20,<3级
345,双河,20,<3级
346,可克达拉,29,<3级
347,西宁,12,3-4级
348,海东,14,<3级
349,黄南,13,3-4级
350,海南,12,<3级
351,果洛,8,3-4级
352,玉树,9,<3级
353,海西,10,<3级
354,海北,8,3-4级
355,银川,18,<3级
356,石嘴山,16,<3级
357,吴忠,20,3-4级
358,固原,14,4-5级
359,中卫,17,3-4级
