,地点,最低温度,风力
360,西安,10,<3级
361,咸阳,10,<3级
362,延安,6,3-4级
363,榆林,6,3-4级
364,渭南,11,<3级
365,商洛,8,<3级
366,安康,10,<3级
367,汉中,10,<3级
368,宝鸡,10,<3级
369,铜川,9,<3级
370,杨凌,9,<3级
371,兰州,7,<3级
372,定西,0,3-4级
373,平凉,5,3-4级
374,庆阳,9,<3级
375,武威,3,3-4级
376,金昌,4,3-4级
377,张掖,4,3-4级
378,酒泉,9,5-6级
379,天水,4,<3级
380,陇南,10,3-4级
381,临夏,1,<3级
382,甘南,-9,3-4级
383,白银,3,<3级
384,嘉峪关,8,4-5级
385,乌鲁木齐,12,<3级
386,克拉玛依,13,<3级
387,石河子,11,<3级
388,昌吉,14,<3级
389,吐鲁番,18,<3级
390,巴音郭楞,7,<3级
391,阿拉尔,8,<3级
392,阿克苏,10,<3级
393,喀什,11,<3级
394,伊犁,12,<3级
395,塔城,9,<3级
396,哈密,8,<3级
397,和田,13,<3级
398,阿勒泰,11,<3级
399,克州,8,<3级
400,博尔塔拉,11,<3级
401,图木舒克,9,<3级
402,五家渠,12,<3级
403,铁门关,7,<3级
404,北屯,11,<3级
405,双河,11,<3级
406,可克达拉,12,<3级
407,西宁,1,<3级
408,海东,1,<3级
409,黄南,1,3-4级
410,海南,-1,3-4级
411,果洛,-8,3-4级
412,玉树,-6,3-4级
413,海西,-4,3-4级
414,海北,-7,4-5级
415,银川,8,3-4级
416,石嘴山,2,3-4级
417,吴忠,7,3-4级
418,固原,4,3-4级
419,中卫,6,4-5级
