,地点,最高温度,风力
184,成都,14,<3级
185,攀枝花,32,<3级
186,自贡,15,<3级
187,绵阳,13,<3级
188,南充,13,<3级
189,达州,14,<3级
190,遂宁,13,<3级
191,广安,14,<3级
192,巴中,13,<3级
193,泸州,16,<3级
194,宜宾,17,<3级
195,内江,14,<3级
196,资阳,14,<3级
197,乐山,15,<3级
198,眉山,15,<3级
199,凉山,26,<3级
200,雅安,13,<3级
201,甘孜,12,<3级
202,阿坝,8,<3级
203,德阳,13,<3级
204,广元,12,<3级
205,重庆,15,<3级
206,永川,14,<3级
207,合川,13,3-4级
208,南川,13,<3级
209,江津,15,<3级
210,渝北,13,<3级
211,北碚,15,<3级
212,巴南,12,<3级
213,长寿,13,<3级
214,黔江,11,<3级
215,渝中,15,<3级
216,万州,13,<3级
217,涪陵,16,<3级
218,城口,10,<3级
219,云阳,13,<3级
220,巫溪,15,<3级
221,奉节,12,<3级
222,巫山,10,<3级
223,潼南,14,<3级
224,垫江,12,<3级
225,梁平,12,<3级
226,忠县,18,<3级
227,石柱,14,<3级
228,大足,12,<3级
229,荣昌,14,<3级
230,铜梁,17,3-4级
231,璧山,14,<3级
232,丰都,14,<3级
233,武隆,13,<3级
234,彭水,15,<3级
235,綦江,15,<3级
236,酉阳,10,<3级
237,大渡口,15,<3级
238,秀山,12,<3级
239,江北,15,<3级
240,沙坪坝,15,<3级
241,九龙坡,15,<3级
242,南岸,15,<3级
243,开州,10,<3级
244,贵阳,11,<3级
245,遵义,11,<3级
246,安顺,12,<3级
247,黔南,11,<3级
248,黔东南,15,<3级
249,铜仁,11,<3级
250,毕节,12,<3级
251,六盘水,12,<3级
252,黔西南,20,<3级
253,昆明,26,<3级
254,大理,24,<3级
255,红河,33,3-4级
256,曲靖,27,<3级
257,保山,25,<3级
258,文山,27,<3级
259,玉溪,28,<3级
260,楚雄,26,3-4级
261,普洱,30,<3级
262,昭通,13,<3级
263,临沧,28,<3级
264,怒江,31,<3级
265,迪庆,12,4-5级
266,丽江,24,3-4级
267,德宏,31,<3级
268,西双版纳,36,<3级
269,拉萨,17,3-4级
270,日喀则,16,3-4级
271,山南,18,3-4级
272,林芝,14,<3级
273,昌都,13,<3级
274,那曲,8,3-4级
275,阿里,7,6-7级
