,地点,最低温度,风力
368,成都,9,<3级
369,攀枝花,16,<3级
370,自贡,10,<3级
371,绵阳,9,<3级
372,南充,10,<3级
373,达州,10,<3级
374,遂宁,10,<3级
375,广安,10,<3级
376,巴中,9,<3级
377,泸州,10,<3级
378,宜宾,10,<3级
379,内江,10,<3级
380,资阳,10,<3级
381,乐山,10,<3级
382,眉山,9,<3级
383,凉山,8,<3级
384,雅安,9,<3级
385,甘孜,-1,<3级
386,阿坝,-5,<3级
387,德阳,10,<3级
388,广元,7,<3级
389,重庆,11,<3级
390,永川,11,<3级
391,合川,11,<3级
392,南川,9,<3级
393,江津,12,<3级
394,渝北,10,<3级
395,北碚,11,<3级
396,巴南,10,<3级
397,长寿,10,<3级
398,黔江,9,<3级
399,渝中,11,<3级
400,万州,8,<3级
401,涪陵,10,<3级
402,城口,6,<3级
403,云阳,10,<3级
404,巫溪,9,<3级
405,奉节,10,<3级
406,巫山,8,<3级
407,潼南,10,<3级
408,垫江,9,<3级
409,梁平,8,<3级
410,忠县,10,<3级
411,石柱,9,<3级
412,大足,9,<3级
413,荣昌,10,<3级
414,铜梁,11,<3级
415,璧山,11,<3级
416,丰都,9,<3级
417,武隆,9,<3级
418,彭水,10,<3级
419,綦江,9,<3级
420,酉阳,6,<3级
421,大渡口,11,<3级
422,秀山,6,<3级
423,江北,11,<3级
424,沙坪坝,11,<3级
425,九龙坡,11,<3级
426,南岸,11,<3级
427,开州,9,<3级
428,贵阳,6,<3级
429,遵义,8,<3级
430,安顺,7,<3级
431,黔南,6,<3级
432,黔东南,7,<3级
433,铜仁,8,<3级
434,毕节,6,<3级
435,六盘水,5,<3级
436,黔西南,10,<3级
437,昆明,11,<3级
438,大理,13,<3级
439,红河,18,<3级
440,曲靖,7,<3级
441,保山,14,3-4级
442,文山,13,<3级
443,玉溪,12,<3级
444,楚雄,16,<3级
445,普洱,16,<3级
446,昭通,5,<3级
447,临沧,13,<3级
448,怒江,16,<3级
449,迪庆,2,3-4级
450,丽江,8,<3级
451,德宏,17,<3级
452,西双版纳,20,<3级
453,拉萨,6,<3级
454,日喀则,2,<3级
455,山南,4,<3级
456,林芝,8,<3级
457,昌都,4,<3级
458,那曲,-6,<3级
459,阿里,-3,<3级
