,地点,最高温度,风力
36,哈尔滨,14,<3级
37,齐齐哈尔,12,<3级
38,牡丹江,14,<3级
39,佳木斯,14,<3级
40,绥化,12,<3级
41,黑河,9,<3级
42,大兴安岭,11,<3级
43,伊春,10,<3级
44,大庆,12,<3级
45,七台河,12,<3级
46,鸡西,12,<3级
47,鹤岗,11,3-4级
48,双鸭山,12,<3级
49,长春,14,<3级
50,吉林,15,<3级
51,延边,14,3-4级
52,四平,16,3-4级
53,通化,16,<3级
54,白城,14,<3级
55,辽源,16,<3级
56,松原,15,<3级
57,白山,15,<3级
58,沈阳,17,4-5级
59,大连,12,4-5级
60,鞍山,17,3-4级
61,抚顺,17,3-4级
62,本溪,18,3-4级
63,丹东,18,<3级
64,锦州,18,3-4级
65,营口,15,3-4级
66,阜新,17,3-4级
67,辽阳,18,<3级
68,铁岭,16,3-4级
69,朝阳,17,3-4级
70,盘锦,17,3-4级
71,葫芦岛,16,4-5级
