,地点,最低温度,风力
216,哈尔滨,7,4-5级
217,齐齐哈尔,9,<3级
218,牡丹江,6,3-4级
219,佳木斯,8,3-4级
220,绥化,7,<3级
221,黑河,4,<3级
222,大兴安岭,8,3-4级
223,伊春,1,<3级
224,大庆,10,3-4级
225,七台河,8,<3级
226,鸡西,4,<3级
227,鹤岗,2,3-4级
228,双鸭山,6,<3级
229,长春,11,4-5级
230,吉林,9,3-4级
231,延边,2,3-4级
232,四平,10,5-6级
233,通化,6,3-4级
234,白城,12,<3级
235,辽源,12,3-4级
236,松原,11,4-5级
237,白山,5,3-4级
238,沈阳,11,5-6级
239,大连,11,4-5级
240,鞍山,13,4-5级
241,抚顺,8,4-5级
242,本溪,10,4-5级
243,丹东,7,3-4级
244,锦州,9,4-5级
245,营口,11,5-6级
246,阜新,12,4-5级
247,辽阳,12,4-5级
248,铁岭,11,4-5级
249,朝阳,12,3-4级
250,盘锦,9,5-6级
251,葫芦岛,9,5-6级
