,地点,最高温度,风力
380,上海,17,<3级
381,闵行,18,<3级
382,宝山,16,3-4级
383,黄浦,17,<3级
384,嘉定,18,3-4级
385,浦东新区,18,<3级
386,金山,17,3-4级
387,青浦,20,<3级
388,松江,18,3-4级
389,奉贤,15,<3级
390,崇明,17,3-4级
391,徐汇,17,<3级
392,长宁,17,<3级
393,静安,17,<3级
394,普陀,17,<3级
395,虹口,17,<3级
396,杨浦,17,<3级
397,合肥,15,<3级
398,蚌埠,15,3-4级
399,芜湖,16,<3级
400,淮南,15,<3级
401,马鞍山,15,<3级
402,安庆,14,<3级
403,宿州,15,<3级
404,阜阳,16,3-4级
405,亳州,16,<3级
406,黄山,14,<3级
407,滁州,13,<3级
408,淮北,16,<3级
409,铜陵,14,<3级
410,宣城,15,<3级
411,六安,15,<3级
412,池州,14,<3级
413,南京,16,<3级
414,无锡,20,<3级
415,镇江,16,<3级
416,苏州,16,3-4级
417,南通,17,<3级
418,扬州,17,<3级
419,盐城,18,<3级
420,徐州,19,<3级
421,淮安,19,<3级
422,连云港,21,<3级
423,常州,16,<3级
424,泰州,16,<3级
425,宿迁,18,<3级
426,济南,18,4-5级
427,青岛,15,3-4级
428,淄博,20,3-4级
429,德州,20,4-5级
430,烟台,18,3-4级
431,潍坊,23,<3级
432,济宁,20,3-4级
433,泰安,19,3-4级
434,临沂,20,3-4级
435,菏泽,19,3-4级
436,滨州,22,3-4级
437,东营,23,3-4级
438,威海,17,3-4级
439,枣庄,20,<3级
440,日照,18,3-4级
441,莱芜,18,3-4级
442,聊城,18,3-4级
443,杭州,16,<3级
444,湖州,15,<3级
445,嘉兴,16,3-4级
446,宁波,17,<3级
447,绍兴,17,<3级
448,台州,15,3-4级
449,温州,16,<3级
450,丽水,15,<3级
451,金华,14,<3级
452,衢州,15,3-4级
453,舟山,15,<3级
454,福州,23,3-4级
455,厦门,22,3-4级
456,宁德,18,<3级
457,莆田,20,3-4级
458,泉州,21,4-5级
459,漳州,27,3-4级
460,龙岩,23,3-4级
461,三明,18,<3级
462,南平,17,<3级
463,钓鱼岛,25,3-4级
464,南昌,15,<3级
465,九江,14,<3级
466,上饶,14,<3级
467,抚州,14,<3级
468,宜春,13,<3级
469,吉安,13,<3级
470,赣州,16,<3级
471,景德镇,15,<3级
472,萍乡,13,<3级
473,新余,12,<3级
474,鹰潭,14,<3级
