,地点,最低温度,风力
475,上海,14,<3级
476,闵行,11,<3级
477,宝山,10,<3级
478,黄浦,14,<3级
479,嘉定,10,<3级
480,浦东新区,11,<3级
481,金山,11,<3级
482,青浦,10,<3级
483,松江,12,<3级
484,奉贤,10,<3级
485,崇明,9,<3级
486,徐汇,14,<3级
487,长宁,14,<3级
488,静安,14,<3级
489,普陀,14,<3级
490,虹口,14,<3级
491,杨浦,14,<3级
492,合肥,6,<3级
493,蚌埠,6,<3级
494,芜湖,8,<3级
495,淮南,7,3-4级
496,马鞍山,6,<3级
497,安庆,10,<3级
498,宿州,6,<3级
499,阜阳,7,3-4级
500,亳州,8,3-4级
501,黄山,8,3-4级
502,滁州,7,<3级
503,淮北,7,3-4级
504,铜陵,8,3-4级
505,宣城,8,3-4级
506,六安,7,3-4级
507,池州,9,<3级
508,南京,11,<3级
509,无锡,10,<3级
510,镇江,8,<3级
511,苏州,11,3-4级
512,南通,10,<3级
513,扬州,11,<3级
514,盐城,8,<3级
515,徐州,8,<3级
516,淮安,10,<3级
517,连云港,8,<3级
518,常州,11,<3级
519,泰州,9,<3级
520,宿迁,9,<3级
521,济南,13,<3级
522,青岛,8,3-4级
523,淄博,7,<3级
524,德州,10,<3级
525,烟台,6,4-5级
526,潍坊,5,<3级
527,济宁,7,3-4级
528,泰安,8,<3级
529,临沂,4,3-4级
530,菏泽,6,3-4级
531,滨州,7,<3级
532,东营,7,<3级
533,威海,6,3-4级
534,枣庄,6,3-4级
535,日照,6,3-4级
536,莱芜,10,3-4级
537,聊城,9,<3级
538,杭州,10,4-5级
539,湖州,10,4-5级
540,嘉兴,10,5-6级
541,宁波,9,4-5级
542,绍兴,10,4-5级
543,台州,10,3-4级
544,温州,11,3-4级
545,丽水,9,3-4级
546,金华,10,3-4级
547,衢州,10,3-4级
548,舟山,13,4-5级
549,福州,15,<3级
550,厦门,16,<3级
551,宁德,13,<3级
552,莆田,15,3-4级
553,泉州,15,3-4级
554,漳州,17,3-4级
555,龙岩,12,3-4级
556,三明,12,<3级
557,南平,12,<3级
558,钓鱼岛,21,<3级
559,南昌,14,<3级
560,九江,10,3-4级
561,上饶,10,3-4级
562,抚州,10,<3级
563,宜春,9,3-4级
564,吉安,10,<3级
565,赣州,10,<3级
566,景德镇,10,3-4级
567,萍乡,9,<3级
568,新余,8,<3级
569,鹰潭,10,<3级
