,地点,最高温度,风力
147,武汉,15,<3级
148,襄阳,13,3-4级
149,鄂州,16,3-4级
150,孝感,16,3-4级
151,黄冈,16,<3级
152,黄石,16,<3级
153,咸宁,14,<3级
154,荆州,13,3-4级
155,宜昌,11,<3级
156,恩施,11,<3级
157,十堰,10,<3级
158,神农架,6,<3级
159,随州,16,<3级
160,荆门,12,3-4级
161,天门,14,<3级
162,仙桃,14,3-4级
163,潜江,13,3-4级
164,长沙,13,<3级
165,湘潭,13,3-4级
166,株洲,14,<3级
167,衡阳,14,<3级
168,郴州,12,<3级
169,常德,11,3-4级
170,益阳,12,<3级
171,娄底,11,<3级
172,邵阳,13,<3级
173,岳阳,13,<3级
174,张家界,10,<3级
175,怀化,12,<3级
176,永州,14,<3级
177,湘西,10,<3级
178,郑州,19,<3级
179,安阳,19,<3级
180,新乡,19,<3级
181,许昌,19,<3级
182,平顶山,18,<3级
183,信阳,16,<3级
184,南阳,16,<3级
185,开封,19,<3级
186,洛阳,17,<3级
187,商丘,19,<3级
188,焦作,19,<3级
189,鹤壁,18,<3级
190,濮阳,19,<3级
191,周口,20,<3级
192,漯河,18,<3级
193,驻马店,18,<3级
194,三门峡,16,<3级
195,济源,18,<3级
