,地点,最低温度,风力
294,武汉,12,<3级
295,襄阳,11,<3级
296,鄂州,14,<3级
297,孝感,12,<3级
298,黄冈,14,<3级
299,黄石,14,<3级
300,咸宁,13,<3级
301,荆州,13,<3级
302,宜昌,11,<3级
303,恩施,11,<3级
304,十堰,10,<3级
305,神农架,6,<3级
306,随州,11,<3级
307,荆门,12,<3级
308,天门,12,<3级
309,仙桃,13,<3级
310,潜江,13,<3级
311,长沙,13,<3级
312,湘潭,13,<3级
313,株洲,16,<3级
314,衡阳,13,<3级
315,郴州,13,<3级
316,常德,9,<3级
317,益阳,13,<3级
318,娄底,14,<3级
319,邵阳,13,<3级
320,岳阳,17,<3级
321,张家界,7,<3级
322,怀化,14,<3级
323,永州,13,<3级
324,湘西,12,<3级
325,郑州,15,3-4级
326,安阳,14,4-5级
327,新乡,13,3-4级
328,许昌,13,3-4级
329,平顶山,13,3-4级
330,信阳,13,<3级
331,南阳,12,<3级
332,开封,15,3-4级
333,洛阳,12,3-4级
334,商丘,13,3-4级
335,焦作,13,3-4级
336,鹤壁,13,4-5级
337,濮阳,13,3-4级
338,周口,10,<3级
339,漯河,12,3-4级
340,驻马店,13,<3级
341,三门峡,12,<3级
342,济源,11,<3级
