,地点,最低温度,风力
0,北京,6,-
1,海淀,5,-
2,朝阳,6,-
3,顺义,6,-
4,怀柔,5,-
5,通州,4,-
6,昌平,7,-
7,延庆,3,-
8,丰台,6,-
9,石景山,4,-
10,大兴,5,-
11,房山,4,-
12,密云,3,-
13,门头沟,6,-
14,平谷,3,-
15,东城,6,-
16,西城,5,-
17,天津,8,-
18,武清,6,-
19,宝坻,5,-
20,东丽,8,-
21,西青,7,-
22,北辰,6,-
23,宁河,4,-
24,和平,8,-
25,静海,7,-
26,津南,6,-
27,滨海新区,6,-
28,河东,8,-
29,河西,8,-
30,蓟州,5,-
31,南开,8,-
32,河北,8,-
33,红桥,8,-
34,石家庄,10,-
35,保定,6,-
36,张家口,1,-
37,承德,2,-
38,唐山,4,-
39,廊坊,7,-
40,沧州,4,-
41,衡水,7,-
42,邢台,11,-
43,邯郸,10,-
44,秦皇岛,3,-
45,雄安新区,7,-
46,太原,7,-
47,大同,-2,-
48,阳泉,6,-
49,晋中,7,-
50,长治,8,-
51,晋城,8,-
52,临汾,11,-
53,运城,11,-
54,朔州,-1,-
55,忻州,4,-
56,吕梁,6,-
57,呼和浩特,1,-
58,包头,0,-
59,乌海,0,-
60,乌兰察布,-5,-
61,通辽,6,-
62,赤峰,-2,-
63,鄂尔多斯,0,-
64,巴彦淖尔,1,-
65,锡林郭勒,-4,-
66,呼伦贝尔,-7,-
67,兴安盟,2,-
68,阿拉善盟,6,-
