,地点,最高温度,风力
414,北京,27,3-4级
415,海淀,27,<3级
416,朝阳,26,3-4级
417,顺义,26,<3级
418,怀柔,26,<3级
419,通州,27,<3级
420,昌平,26,<3级
421,延庆,22,<3级
422,丰台,27,<3级
423,石景山,25,<3级
424,大兴,27,<3级
425,房山,26,<3级
426,密云,25,<3级
427,门头沟,26,<3级
428,平谷,25,<3级
429,东城,26,3-4级
430,西城,27,<3级
431,天津,26,3-4级
432,武清,24,3-4级
433,宝坻,26,3-4级
434,东丽,26,3-4级
435,西青,26,3-4级
436,北辰,27,3-4级
437,宁河,26,3-4级
438,和平,26,3-4级
439,静海,27,3-4级
440,津南,25,3-4级
441,滨海新区,23,4-5级
442,河东,26,3-4级
443,河西,26,3-4级
444,蓟州,25,3-4级
445,南开,26,3-4级
446,河北,26,3-4级
447,红桥,26,3-4级
448,石家庄,30,3-4级
449,保定,28,3-4级
450,张家口,22,3-4级
451,承德,29,<3级
452,唐山,25,3-4级
453,廊坊,28,3-4级
454,沧州,27,3-4级
455,衡水,27,3-4级
456,邢台,26,3-4级
457,邯郸,26,3-4级
458,秦皇岛,24,3-4级
459,雄安新区,26,4-5级
460,太原,24,<3级
461,大同,21,3-4级
462,阳泉,24,3-4级
463,晋中,23,3-4级
464,长治,21,3-4级
465,晋城,22,3-4级
466,临汾,27,3-4级
467,运城,26,<3级
468,朔州,23,<3级
469,忻州,24,3-4级
470,吕梁,22,3-4级
471,呼和浩特,22,3-4级
472,包头,23,3-4级
473,乌海,21,3-4级
474,乌兰察布,20,4-5级
475,通辽,27,4-5级
476,赤峰,24,<3级
477,鄂尔多斯,19,3-4级
478,巴彦淖尔,22,3-4级
479,锡林郭勒,21,4-5级
480,呼伦贝尔,20,<3级
481,兴安盟,25,4-5级
482,阿拉善盟,17,<3级
