,地点,最低温度,风力
112,南宁,16,<3级
113,崇左,18,<3级
114,柳州,15,<3级
115,来宾,15,<3级
116,桂林,11,<3级
117,梧州,20,<3级
118,贺州,15,<3级
119,贵港,18,<3级
120,玉林,20,<3级
121,百色,17,<3级
122,钦州,21,<3级
123,河池,14,<3级
124,北海,22,3-4级
125,防城港,21,3-4级
126,广州,20,<3级
127,韶关,16,<3级
128,惠州,19,<3级
129,梅州,19,<3级
130,汕头,18,3-4级
131,深圳,20,3-4级
132,珠海,19,<3级
133,佛山,20,<3级
134,肇庆,20,<3级
135,湛江,20,<3级
136,江门,20,<3级
137,河源,19,<3级
138,清远,19,<3级
139,云浮,20,<3级
140,潮州,19,<3级
141,东莞,20,<3级
142,中山,20,<3级
143,阳江,20,<3级
144,揭阳,18,<3级
145,茂名,21,<3级
146,汕尾,20,3-4级
147,海口,23,3-4级
148,三亚,23,3-4级
149,东方,25,<3级
150,临高,22,3-4级
151,澄迈,21,<3级
152,儋州,21,<3级
153,昌江,22,<3级
154,白沙,20,<3级
155,琼中,21,<3级
156,定安,22,<3级
157,屯昌,21,<3级
158,琼海,23,<3级
159,文昌,22,<3级
160,保亭,22,<3级
161,万宁,21,<3级
162,陵水,22,<3级
163,乐东,23,<3级
164,五指山,21,<3级
165,西沙,25,<3级
166,中沙,26,3-4级
167,南沙,26,<3级
