,地点,最高温度,风力
112,南宁,27,<3级
113,崇左,29,<3级
114,柳州,22,<3级
115,来宾,24,<3级
116,桂林,20,<3级
117,梧州,28,<3级
118,贺州,25,<3级
119,贵港,27,<3级
120,玉林,29,<3级
121,百色,26,<3级
122,钦州,29,<3级
123,河池,23,<3级
124,北海,30,3-4级
125,防城港,28,3-4级
126,广州,29,<3级
127,韶关,25,<3级
128,惠州,27,<3级
129,梅州,28,<3级
130,汕头,26,3-4级
131,深圳,27,3-4级
132,珠海,27,<3级
133,佛山,27,<3级
134,肇庆,27,<3级
135,湛江,27,<3级
136,江门,27,<3级
137,河源,28,<3级
138,清远,27,<3级
139,云浮,27,<3级
140,潮州,28,<3级
141,东莞,28,<3级
142,中山,27,<3级
143,阳江,28,<3级
144,揭阳,26,<3级
145,茂名,29,<3级
146,汕尾,28,3-4级
147,海口,29,3-4级
148,三亚,30,3-4级
149,东方,28,<3级
150,临高,31,3-4级
151,澄迈,33,<3级
152,儋州,33,<3级
153,昌江,34,<3级
154,白沙,34,<3级
155,琼中,32,<3级
156,定安,32,<3级
157,屯昌,32,<3级
158,琼海,30,<3级
159,文昌,31,<3级
160,保亭,32,<3级
161,万宁,31,<3级
162,陵水,30,<3级
163,乐东,35,<3级
164,五指山,32,<3级
165,西沙,31,<3级
166,中沙,28,3-4级
167,南沙,31,<3级
