,地点,最低温度,风力
60,西安,10,3-4级
61,咸阳,8,3-4级
62,延安,3,3-4级
63,榆林,4,3-4级
64,渭南,9,3-4级
65,商洛,6,<3级
66,安康,9,3-4级
67,汉中,10,3-4级
68,宝鸡,8,<3级
69,铜川,6,3-4级
70,杨凌,8,<3级
71,兰州,8,<3级
72,定西,0,3-4级
73,平凉,0,<3级
74,庆阳,2,<3级
75,武威,3,3-4级
76,金昌,3,<3级
77,张掖,3,<3级
78,酒泉,5,3-4级
79,天水,2,<3级
80,陇南,8,<3级
81,临夏,2,<3级
82,甘南,-2,3-4级
83,白银,2,3-4级
84,嘉峪关,5,4-5级
85,乌鲁木齐,3,3-4级
86,克拉玛依,3,4-5级
87,石河子,2,3-4级
88,昌吉,2,3-4级
89,吐鲁番,13,<3级
90,巴音郭楞,7,<3级
91,阿拉尔,10,<3级
92,阿克苏,13,<3级
93,喀什,13,3-4级
94,伊犁,8,<3级
95,塔城,2,3-4级
96,哈密,5,<3级
97,和田,15,<3级
98,阿勒泰,1,<3级
99,克州,10,3-4级
100,博尔塔拉,2,<3级
101,图木舒克,12,<3级
102,五家渠,3,3-4级
103,铁门关,7,<3级
104,北屯,1,<3级
105,双河,1,<3级
106,可克达拉,9,<3级
107,西宁,2,3-4级
108,海东,3,<3级
109,黄南,4,3-4级
110,海南,2,4-5级
111,果洛,-2,<3级
112,玉树,-1,<3级
113,海西,-1,3-4级
114,海北,-5,6-7级
115,银川,4,3-4级
116,石嘴山,0,3-4级
117,吴忠,5,3-4级
118,固原,0,3-4级
119,中卫,5,3-4级
