,地点,最高温度,风力
360,西安,24,<3级
361,咸阳,23,<3级
362,延安,21,3-4级
363,榆林,20,3-4级
364,渭南,23,<3级
365,商洛,21,<3级
366,安康,23,<3级
367,汉中,22,<3级
368,宝鸡,22,<3级
369,铜川,21,<3级
370,杨凌,22,<3级
371,兰州,21,<3级
372,定西,14,3-4级
373,平凉,19,3-4级
374,庆阳,17,<3级
375,武威,20,3-4级
376,金昌,24,3-4级
377,张掖,20,3-4级
378,酒泉,20,5-6级
379,天水,17,<3级
380,陇南,19,3-4级
381,临夏,16,<3级
382,甘南,10,3-4级
383,白银,17,<3级
384,嘉峪关,22,4-5级
385,乌鲁木齐,25,<3级
386,克拉玛依,26,<3级
387,石河子,28,<3级
388,昌吉,29,<3级
389,吐鲁番,31,<3级
390,巴音郭楞,24,<3级
391,阿拉尔,25,<3级
392,阿克苏,26,<3级
393,喀什,23,<3级
394,伊犁,29,<3级
395,塔城,22,<3级
396,哈密,28,<3级
397,和田,28,<3级
398,阿勒泰,18,<3级
399,克州,25,<3级
400,博尔塔拉,26,<3级
401,图木舒克,26,<3级
402,五家渠,25,<3级
403,铁门关,24,<3级
404,北屯,18,<3级
405,双河,18,<3级
406,可克达拉,30,<3级
407,西宁,14,<3级
408,海东,16,<3级
409,黄南,14,3-4级
410,海南,12,3-4级
411,果洛,7,3-4级
412,玉树,12,3-4级
413,海西,12,3-4级
414,海北,9,4-5级
415,银川,21,3-4级
416,石嘴山,19,3-4级
417,吴忠,20,3-4级
418,固原,16,3-4级
419,中卫,20,4-5级
