,地点,最低温度,风力
92,成都,12,<3级
93,攀枝花,18,<3级
94,自贡,15,<3级
95,绵阳,12,<3级
96,南充,12,<3级
97,达州,12,<3级
98,遂宁,12,<3级
99,广安,12,<3级
100,巴中,9,<3级
101,泸州,16,<3级
102,宜宾,16,<3级
103,内江,14,<3级
104,资阳,13,<3级
105,乐山,14,<3级
106,眉山,13,<3级
107,凉山,14,<3级
108,雅安,13,<3级
109,甘孜,3,<3级
110,阿坝,1,<3级
111,德阳,11,<3级
112,广元,9,<3级
113,重庆,14,<3级
114,永川,14,<3级
115,合川,13,<3级
116,南川,11,<3级
117,江津,14,<3级
118,渝北,13,<3级
119,北碚,14,<3级
120,巴南,12,<3级
121,长寿,13,<3级
122,黔江,10,<3级
123,渝中,14,<3级
124,万州,12,<3级
125,涪陵,12,<3级
126,城口,8,<3级
127,云阳,11,<3级
128,巫溪,11,<3级
129,奉节,11,<3级
130,巫山,8,<3级
131,潼南,12,<3级
132,垫江,10,<3级
133,梁平,9,<3级
134,忠县,11,<3级
135,石柱,9,<3级
136,大足,12,<3级
137,荣昌,14,<3级
138,铜梁,14,<3级
139,璧山,14,<3级
140,丰都,12,<3级
141,武隆,10,<3级
142,彭水,11,<3级
143,綦江,12,3-4级
144,酉阳,6,<3级
145,大渡口,14,<3级
146,秀山,8,<3级
147,江北,14,<3级
148,沙坪坝,14,<3级
149,九龙坡,14,<3级
150,南岸,14,<3级
151,开州,9,<3级
152,贵阳,9,<3级
153,遵义,9,<3级
154,安顺,11,<3级
155,黔南,8,<3级
156,黔东南,9,<3级
157,铜仁,10,<3级
158,毕节,9,<3级
159,六盘水,9,<3级
160,黔西南,15,<3级
161,昆明,14,<3级
162,大理,15,<3级
163,红河,20,<3级
164,曲靖,13,<3级
165,保山,15,<3级
166,文山,18,<3级
167,玉溪,13,<3级
168,楚雄,15,<3级
169,普洱,15,<3级
170,昭通,10,<3级
171,临沧,15,<3级
172,怒江,17,<3级
173,迪庆,3,<3级
174,丽江,9,<3级
175,德宏,17,<3级
176,西双版纳,19,<3级
177,拉萨,7,3-4级
178,日喀则,1,3-4级
179,山南,4,3-4级
180,林芝,7,<3级
181,昌都,6,<3级
182,那曲,-5,6-7级
183,阿里,-3,<3级
