,地点,最高温度,风力
460,成都,21,<3级
461,攀枝花,26,<3级
462,自贡,22,<3级
463,绵阳,22,<3级
464,南充,22,<3级
465,达州,22,<3级
466,遂宁,22,<3级
467,广安,21,<3级
468,巴中,23,<3级
469,泸州,20,<3级
470,宜宾,22,<3级
471,内江,22,<3级
472,资阳,22,<3级
473,乐山,22,<3级
474,眉山,22,<3级
475,凉山,18,<3级
476,雅安,19,<3级
477,甘孜,9,<3级
478,阿坝,6,<3级
479,德阳,21,<3级
480,广元,23,<3级
481,重庆,21,<3级
482,永川,20,<3级
483,合川,20,<3级
484,南川,19,<3级
485,江津,21,<3级
486,渝北,19,<3级
487,北碚,21,<3级
488,巴南,19,<3级
489,长寿,20,<3级
490,黔江,20,<3级
491,渝中,21,<3级
492,万州,22,<3级
493,涪陵,20,<3级
494,城口,17,<3级
495,云阳,21,<3级
496,巫溪,22,<3级
497,奉节,20,<3级
498,巫山,18,<3级
499,潼南,22,<3级
500,垫江,20,<3级
501,梁平,20,<3级
502,忠县,20,<3级
503,石柱,18,<3级
504,大足,20,<3级
505,荣昌,21,<3级
506,铜梁,21,<3级
507,璧山,21,<3级
508,丰都,19,<3级
509,武隆,20,<3级
510,彭水,21,<3级
511,綦江,20,<3级
512,酉阳,18,<3级
513,大渡口,21,<3级
514,秀山,19,<3级
515,江北,21,<3级
516,沙坪坝,21,<3级
517,九龙坡,21,<3级
518,南岸,21,<3级
519,开州,20,<3级
520,贵阳,17,<3级
521,遵义,19,<3级
522,安顺,17,<3级
523,黔南,20,<3级
524,黔东南,22,<3级
525,铜仁,23,<3级
526,毕节,16,<3级
527,六盘水,13,<3级
528,黔西南,15,<3级
529,昆明,16,<3级
530,大理,22,<3级
531,红河,23,<3级
532,曲靖,16,<3级
533,保山,24,3-4级
534,文山,16,<3级
535,玉溪,16,<3级
536,楚雄,22,<3级
537,普洱,26,<3级
538,昭通,14,<3级
539,临沧,25,<3级
540,怒江,24,<3级
541,迪庆,9,<3级
542,丽江,16,<3级
543,德宏,30,<3级
544,西双版纳,31,<3级
545,拉萨,15,<3级
546,日喀则,14,<3级
547,山南,16,3-4级
548,林芝,14,<3级
549,昌都,9,<3级
550,那曲,6,4-5级
551,阿里,11,<3级
